id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,genre_war,genre_biography,genre_romance,genre_drama,genre_fantasy,genre_family,genre_science,genre_action,genre_thriller,genre_western,genre_horror,genre_mystery,genre_crime,genre_history,genre_periodicals,genre_christian,genre_other,N_tokens,log_N_tokens,N_sentences,log_N_sentences,n_nodes,n_edges,network_density,average_clustering,modularity,average_shortest_path_largest_component
PG1013,The First Men in the Moon,"Wells, H. G. (Herbert George)",1866.0,1946.0,['en'],261,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,82377.0,11.319061550720999,4156.0,8.332308352219117,5.0,6.0,0.6,0.16949407874211547,0.08000000000000004,1.4
PG10142,Maezli: A Story of the Swiss Valleys,"Spyri, Johanna",1827.0,1901.0,['en'],72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,76747.0,11.248269576737608,3921.0,8.27410200229233,27.0,57.0,0.1623931623931624,0.05767411957532019,0.27077913631633715,2.3475783475783474
PG10150,Dracula's Guest,"Stoker, Bram",1847.0,1912.0,['en'],1511,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,66892.0,11.110834657501014,2761.0,7.923348211930154,5.0,5.0,0.5,0.23173510965909666,0.107421875,1.7
PG10165,Across the Zodiac: The Story of a Wrecked Record,"Greg, Percy",1836.0,1889.0,['en'],207,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,191833.0,12.164380480854994,5745.0,8.656085190282855,12.0,15.0,0.22727272727272727,0.02771606897170956,0.13918367346938776,2.121212121212121
PG1018,The Water-Babies,"Kingsley, Charles",1819.0,1875.0,['en'],238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,85456.0,11.355756902579552,2643.0,7.879669914604289,9.0,9.0,0.25,0.02374222132703207,0.08941485864562784,2.138888888888889
PG10201,The Desert of Wheat,"Grey, Zane",1872.0,1939.0,['en'],72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149616.0,11.915827290675228,9987.0,9.209039526243135,40.0,61.0,0.0782051282051282,0.015782649792606702,0.1406236848750105,2.541025641025641
PG10210,"Wolves of the Sea: Being a Tale of the Colonies from the Manuscript of One Geoffry Carlyle, Seaman, Narrating Certain Strange Adventures Which Befell Him Aboard the Pirate Craft ""Namur""","Parrish, Randall",1858.0,1923.0,['en'],139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,114572.0,11.648958725312072,5349.0,8.58466490653125,18.0,17.0,0.1111111111111111,0.0,0.4784580498866212,3.895424836601307
PG10212,Peck's Bad Boy with the Circus,"Peck, George W. (George Wilbur)",1840.0,1916.0,['en'],50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63213.0,11.054265255184918,1514.0,7.322510433997394,11.0,10.0,0.18181818181818182,0.0,0.10204081632653067,1.9636363636363636
PG10213,The Everlasting Whisper,"Gregory, Jackson",1882.0,1943.0,['en'],82,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,137624.0,11.832280607876875,7257.0,8.889721799278137,25.0,45.0,0.15,0.006881750063327886,0.06905605318186069,2.0733333333333333
PG10221,Purple Springs,"McClung, Nellie L.",1873.0,1951.0,['en'],45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,106578.0,11.57663239042794,4403.0,8.390041405755754,44.0,49.0,0.05179704016913319,0.029812942321569377,0.32324218750000006,3.1797040169133193
