imdb_id_final,title,primaryTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,url,n_nodes,network_density,average_clustering,modularity,average_shortest_path_largest_component,genre_drama,genre_thriller,genre_comedy,genre_action,genre_crime,genre_romance,genre_adventure,genre_scifi,genre_horror,genre_mystery,genre_fantasy,genre_family,genre_animation,genre_war,genre_musical,genre_western
tt0090021,Silver Bullet,Silver Bullet,0.0,1985.0,95.0,"['Horror', 'Read ""Silver Bullet"" Script']",6.4,https://imsdb.com/Movie Scripts/Silver Bullet Script.html,13.0,0.19230769230769232,0.0,0.35777777777777775,2.3846153846153846,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tt0258153,Simone,S1m0ne,0.0,2002.0,117.0,"['Comedy', 'Drama', 'Sci-Fi', 'Read ""Simone"" Script']",6.1,https://imsdb.com/Movie Scripts/Simone Script.html,17.0,0.125,0.02127597771331078,0.0794306703397613,1.9779411764705883,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
tt28479262,Sing Sing,Sing Sing,0.0,2023.0,107.0,['Drama'],7.6,https://imsdb.com/Movie Scripts/Sing Sing Script.html,17.0,0.125,0.0,0.40530697190426634,2.926470588235294,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0105414,Single White Female,Single White Female,0.0,1992.0,107.0,"['Drama', 'Thriller']",6.4,https://imsdb.com/Movie Scripts/Single White Female Script.html,20.0,0.12631578947368421,0.038017087179952794,0.04224852071005922,2.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0105417,Sister Act,Sister Act,0.0,1992.0,100.0,"['Comedy', 'Crime', 'Musical']",6.5,https://imsdb.com/Movie Scripts/Sister Act Script.html,32.0,0.07661290322580645,0.02218272069908079,0.36620457886998525,2.6088709677419355,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
tt0108149,Six Degrees of Separation,Six Degrees of Separation,0.0,1993.0,112.0,"['Comedy', 'Drama', 'Mystery']",6.8,https://imsdb.com/Movie Scripts/Six Degrees of Separation Script.html,9.0,0.2777777777777778,0.14699078915440186,0.31404958677685946,2.111111111111111,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0167404,"Sixth Sense, The",The Sixth Sense,0.0,1999.0,107.0,"['Drama', 'Horror', 'Mystery', 'Thriller', 'Read ""Sixth Sense, The"" Script']",8.2,"https://imsdb.com/Movie Scripts/Sixth Sense, The Script.html",21.0,0.10952380952380952,0.03200048762770137,0.295565170362358,2.6714285714285713,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
tt0162661,Sleepy Hollow,Sleepy Hollow,0.0,1999.0,105.0,"['Horror', 'Mystery']",7.3,https://imsdb.com/Movie Scripts/Sleepy Hollow Script.html,27.0,0.09116809116809117,0.015119098126533703,0.3189158016147635,3.190883190883191,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
tt0117666,Sling Blade,Sling Blade,0.0,1996.0,135.0,"['Drama', 'Read ""Sling Blade"" Script']",8.0,https://imsdb.com/Movie Scripts/Sling Blade Script.html,14.0,0.15384615384615385,0.08322539773665806,0.3506616257088846,2.3846153846153846,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0439815,Slither,Slither,0.0,2006.0,95.0,"['Comedy', 'Horror', 'Sci-Fi']",6.5,https://imsdb.com/Movie Scripts/Slither Script.html,24.0,0.11594202898550725,0.053570795929800796,0.37679012345679014,2.420289855072464,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
tt1010048,Slumdog Millionaire,Slumdog Millionaire,0.0,2008.0,120.0,"['Crime', 'Drama', 'Romance']",8.0,https://imsdb.com/Movie Scripts/Slumdog Millionaire Script.html,30.0,0.09195402298850575,0.028868068133432498,0.23490646258503398,2.6735632183908047,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
tt2063781,Smashed,Smashed,0.0,2012.0,81.0,"['Comedy', 'Drama']",6.7,https://imsdb.com/Movie Scripts/Smashed Script.html,10.0,0.2,0.0,1.1102230246251565e-16,1.9555555555555555,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0475394,Smokin' Aces,Smokin' Aces,0.0,2006.0,108.0,"['Action', 'Comedy', 'Crime', 'Drama']",6.6,https://imsdb.com/Movie Scripts/Smokin' Aces Script.html,38.0,0.05547652916073969,0.0,0.6551999999999999,4.608819345661451,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
tt0208092,Snatch,Snatch,0.0,2000.0,102.0,"['Comedy', 'Crime']",8.2,https://imsdb.com/Movie Scripts/Snatch Script.html,16.0,0.13333333333333333,0.0,0.5340136054421768,3.066666666666667,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
tt0120834,Snow Falling On Cedars,Snow Falling on Cedars,0.0,1999.0,127.0,['Drama'],6.7,https://imsdb.com/Movie Scripts/Snow Falling On Cedars Script.html,8.0,0.25,0.0,0.0,2.0357142857142856,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1735898,Snow White and the Huntsman,Snow White and the Huntsman,0.0,2012.0,127.0,"['Action', 'Adventure', 'Drama']",6.1,https://imsdb.com/Movie Scripts/Snow White and the Huntsman Script.html,14.0,0.18681318681318682,0.06033885127725598,0.28121284185493467,2.6043956043956045,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
tt0108174,So I Married an Axe Murderer,So I Married an Axe Murderer,0.0,1993.0,93.0,"['Comedy', 'Romance', 'Thriller']",6.5,https://imsdb.com/Movie Scripts/So I Married an Axe Murderer Script.html,14.0,0.15384615384615385,0.031301338558745354,0.11944444444444445,2.2637362637362637,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
tt0307479,Solaris,Solaris,0.0,2002.0,99.0,"['Drama', 'Romance', 'Sci-Fi']",6.2,https://imsdb.com/Movie Scripts/Solaris Script.html,7.0,0.3333333333333333,0.04133074343570483,0.0,1.6666666666666667,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
tt0120157,Soldier,Soldier,0.0,1998.0,99.0,"['Action', 'Drama', 'Sci-Fi']",6.1,https://imsdb.com/Movie Scripts/Soldier Script.html,36.0,0.0746031746031746,0.04192429948223777,0.29418685121107263,2.9285714285714284,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
tt0094008,Someone To Watch Over Me,Someone to Watch Over Me,0.0,1987.0,106.0,"['Action', 'Crime', 'Thriller', 'Drama']",6.1,https://imsdb.com/Movie Scripts/Someone To Watch Over Me Script.html,11.0,0.2727272727272727,0.09779368779301995,0.17421475529583633,2.0545454545454547,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
tt0337741,Something's Gotta Give,Something's Gotta Give,0.0,2003.0,128.0,"['Comedy', 'Romance', 'Drama']",6.7,https://imsdb.com/Movie Scripts/Something's Gotta Give Script.html,17.0,0.15441176470588236,0.023975376063752878,0.06710573157707357,2.1470588235294117,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
